City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Hamilton,US,39.18,-84.53,46.99,28,1,11.41,clear sky
158,Bengkulu,ID,-3.8,102.27,74.97,91,100,6.67,light rain
159,Hajnowka,PL,52.74,23.58,48.0,83,100,1.99,light rain
160,Muriti,TZ,-1.98,32.92,75.2,78,75,6.24,broken clouds
161,Muros,ES,42.78,-9.06,48.0,94,37,4.56,scattered clouds
162,Chokurdakh,RU,70.63,147.92,-9.54,90,96,9.93,overcast clouds
163,Ilulissat,GL,69.22,-51.1,19.4,67,45,16.11,scattered clouds
164,Bathsheba,BB,13.22,-59.52,82.4,69,40,17.22,scattered clouds
165,Tura,IN,25.52,90.22,69.93,91,73,1.23,broken clouds
166,Tilichiki,RU,60.47,166.1,30.85,99,99,0.74,overcast clouds
167,Konya,TR,38.17,32.5,41.0,56,0,2.13,clear sky
168,Okhotsk,RU,59.38,143.3,31.89,93,100,28.12,overcast clouds
169,Huarmey,PE,-10.07,-78.15,65.62,70,95,7.74,overcast clouds
170,Quarteira,PT,37.07,-8.1,69.8,68,0,9.17,clear sky
171,Aykhal,RU,66.0,111.5,6.8,84,75,6.71,broken clouds
172,Alepe,CI,5.5,-3.66,78.8,88,40,5.82,scattered clouds
173,Memmingen,DE,47.98,10.19,62.01,77,98,11.41,overcast clouds
174,Vinh,VN,18.67,105.67,68.27,86,100,8.61,overcast clouds
175,Matara,LK,5.95,80.54,76.51,87,85,6.76,overcast clouds
176,Shahr-E Babak,IR,30.12,55.12,48.78,43,0,4.81,clear sky
177,Ambagarh Chauki,IN,20.78,80.72,66.85,64,0,4.63,clear sky
178,Ponta Delgada,PT,37.73,-25.67,62.6,63,75,9.17,broken clouds
179,Katsuura,JP,35.13,140.3,60.8,93,75,3.36,light intensity shower rain
180,Ambon,ID,-3.7,128.18,82.99,93,100,3.0,overcast clouds
181,Sturgis,US,41.8,-85.42,46.4,24,1,11.41,clear sky
182,Visby,SE,57.64,18.3,59.0,87,81,24.16,broken clouds
183,Inuvik,CA,68.35,-133.72,1.4,77,97,3.36,overcast clouds
184,Geraldton,AU,-28.77,114.6,55.4,93,64,5.82,light rain
185,Rio Grande,BR,-32.03,-52.1,63.0,81,5,1.99,clear sky
186,Sola,VU,-13.88,167.55,77.0,94,90,3.36,heavy intensity rain
187,Port Angeles,US,48.12,-123.43,48.2,93,90,1.3,fog
188,Nemuro,JP,43.32,145.57,48.74,83,100,17.43,light rain
189,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,78.04,81,5,11.74,clear sky
190,Longyearbyen,SJ,78.22,15.64,35.6,69,75,43.62,light snow
